Keyword token, string: if , line number: 1, token id: 62
Delimiter token, string: ( , line number: 1, token id: 104
Identifier token, string: t , line number: 1, token id: 1000
Operator token, string: != , line number: 1, token id: 95
Integer_literal token, string: 4 , line number: 1, token id: 1001
Delimiter token, string: ) , line number: 1, token id: 105
Delimiter token, string: { , line number: 2, token id: 102
Identifier token, string: x , line number: 3, token id: 1002
Operator token, string: = , line number: 3, token id: 115
Integer_literal token, string: 121 , line number: 3, token id: 1003
Delimiter token, string: ; , line number: 3, token id: 108
Identifier token, string: y , line number: 4, token id: 1004
Operator token, string: = , line number: 4, token id: 115
Delimiter token, string: ; , line number: 4, token id: 108
Delimiter token, string: } , line number: 5, token id: 103
